ID;Rt;Likes;D;abs
945955643529285000;49;109;-60;60
945939887747928000;9;0;9;9
945929241777938000;25;108;-83;83
945957433297588000;2;0;2;2
944128926057746000;1;3;-2;2
943061703704694000;0;1;-1;1
945640336604499000;2;0;2;2
944650911321903000;1;6;-5;5
945716144987693000;12;37;-25;25
945645644148101000;23;80;-57;57
945937043170955000;56;121;-65;65
945722881656287000;81;183;-102;102
945663493365264000;65;154;-89;89
945430100216082000;109;696;-587;587
945392064149295000;37;0;37;37
944934285903003000;32;0;32;32
945776233438236000;3;6;-3;3
945678091807895000;0;3;-3;3
945564842814971000;1;5;-4;4
945413850161037000;8;18;-10;10
945387421222367000;0;5;-5;5
945944686946119000;0;0;0;0
945940654877761000;0;0;0;0
945571056496111000;115;0;115;115
945408199959642000;18;0;18;18
945403845102002000;6;0;6;6
945402725520560000;27;0;27;27
945402600379346000;21;0;21;21
943548781919916000;7;53;-46;46
941420905825275000;22;150;-128;128
940878171867631000;12769;109532;-96763;96763
945941368001744000;3;0;3;3
943569493904842000;4;7;-3;3
943566506776055000;3;5;-2;2
945683205348384000;1;0;1;1
944145492891414000;0;1;-1;1
943856084762144000;3;0;3;3
943856020299894000;8;0;8;8
945783828865576000;5;11;-6;6
945768752259457000;9;33;-24;24
945761269575028000;3;9;-6;6
945738556626165000;2;2;0;0
945723429004763000;6;18;-12;12
945735419643219000;37;19;18;18
945433720466694000;8;6;2;2
943906312382971000;0;0;0;0
945930395249455000;3;0;3;3
945604246933819000;1;0;1;1
945398404884193000;1;0;1;1
945314991300841000;0;1;-1;1
945928995119550000;1;1;0;0
945601385973932000;9;17;-8;8
945225685475278000;4;0;4;4
945962211914207000;0;0;0;0
945932111097290000;29;0;29;29
945676202106335000;51;80;-29;29
943844833730457000;6;11;-5;5
943839790679588000;1;9;-8;8
943829714229133000;2;6;-4;4
945925282485231000;34;71;-37;37
945723253196296000;2;10;-8;8
945945560787374000;6;8;-2;2
945687680372834000;11;14;-3;3
945621117816983000;6;14;-8;8
945603535391150000;5;13;-8;8
945595559456407000;16;23;-7;7
945584176551661000;65;103;-38;38
945730133729665000;2;0;2;2
926756585531088000;9;0;9;9
945637515347800000;1;2;-1;1
945675560549744000;8;0;8;8
945272248193216000;42;0;42;42
945005437799337000;13;0;13;13
943257450748227000;1;54;-53;53
945758088916848000;6;25;-19;19
944906035055210000;18;0;18;18
944164111151071000;0;1;-1;1
943879589188775000;5;0;5;5
944591585186021000;11;347;-336;336
943161850828656000;84;0;84;84
940820577010495000;22;1054;-1032;1032
945957606585233000;2;0;2;2
945927343897489000;1;4;-3;3
945919723295961000;5;9;-4;4
945844229292650000;1;95;-94;94
945836633437249000;3;94;-91;91
945829140678283000;3;96;-93;93
945814030350012000;6;98;-92;92
945942585713004000;5;22;-17;17
945681646287810000;3;0;3;3
945679416046301000;11;28;-17;17
945678334381510000;6;21;-15;15
945899214281822000;2;10;-8;8
945789269842460000;17;0;17;17
945765075385749000;14;0;14;14
945649793799421000;4;12;-8;8
945589131387789000;8;0;8;8
945943650646810000;4;0;4;4
943476406213804000;5;9;-4;4
943112083637440000;4;8;-4;4
941314494273347000;0;6;-6;6
940186486527418000;4;17;-13;13
938015562038435000;6;19;-13;13
945283526118854000;18;19;-1;1
944216618569224000;13;0;13;13
944915776812802000;78;213;-135;135
943599267565928000;172;317;-145;145
945990187879936000;0;1;-1;1
945946140951932000;4;5;-1;1
944873196465082000;3;0;3;3
944863879070404000;8;13;-5;5
946021066488598000;21;0;21;21
946018425306042000;3;0;3;3
946009254963613000;53;0;53;53
943969283603918000;108;405;-297;297
943963646383804000;96;435;-339;339
943945008377421000;60;248;-188;188
943774188267024000;142;804;-662;662
943609363486380000;58;342;-284;284
945739780192657000;1;9;-8;8
945698276732473000;7;27;-20;20
945217794983030000;21;129;-108;108
944930948352757000;5;15;-10;10
944916865708642000;7;11;-4;4
946015966630219000;4;0;4;4
945968691870687000;403;0;403;403
945667553019428000;1;2;-1;1
945552771830439000;115;0;115;115
943892823274766000;3;7;-4;4
943885273955418000;1;1;0;0
943787904828047000;18;19;-1;1
943756172980563000;5;8;-3;3
943754663039418000;16;21;-5;5
946056115783159000;87;0;87;87
946055561631752000;10;0;10;10
946055468392308000;220;0;220;220
946053647384883000;34;0;34;34
946025792521293000;143;0;143;143
946048347881836000;0;10;-10;10
945630259973632000;6;26;-20;20
945451738848546000;0;9;-9;9
945334680873730000;1;29;-28;28
945093870362222000;21273;48985;-27712;27712
943987692227956000;514;2371;-1857;1857
943374564192604000;732;3163;-2431;2431
942913308641947000;836;3992;-3156;3156
943477020499079000;24;52;-28;28
944358679750553000;221;0;221;221
944000439065960000;21;45;-24;24
943996625382502000;5;15;-10;10
945952414955339000;3;42;-39;39
945950180322500000;1;19;-18;18
945930820799344000;96;0;96;96
945926943714828000;119;0;119;119
945815160517791000;6;63;-57;57
946009452368539000;70;0;70;70
945957079281537000;9;10;-1;1
946006823840174000;2;0;2;2
946002888802914000;0;1;-1;1
946002804350562000;3;3;0;0
944232834557988000;14;57;-43;43
943398794808446000;1;1;0;0
943062589268987000;5;0;5;5
946010681937186000;28;49;-21;21
946005614739755000;6;4;2;2
946004759152136000;24;22;2;2
945998372107948000;95;0;95;95
