ID	Dia setmana	Mes	Dia	Hora	Any	Rt	Likes	Matí(0)/Tarda(1)
947444241642541000	Sun	Dec	31	12:28:04	2017	1	2	0
947443734165229000	Sun	Dec	31	12:26:03	2017	1	2	0
946675455301742000	Fri	Dec	29	9:33:11	2017	17	42	0
946425396811194000	Thu	Dec	28	16:59:32	2017	3	25	0
946303596798324000	Thu	Dec	28	8:55:33	2017	10	42	0
946097131944779000	Wed	Dec	27	19:15:08	2017	21	57	0
947068204261797000	Sat	Dec	30	11:33:50	2017	130	280	0
947053778896936000	Sat	Dec	30	10:36:30	2017	218	556	0
947008915975352000	Sat	Dec	30	7:38:14	2017	208	0	0
947007389680758000	Sat	Dec	30	7:32:10	2017	74	0	0
947603531158077000	Sun	Dec	31	23:01:02	2017	18	73	0
947452947679637000	Sun	Dec	31	13:02:40	2017	5	35	0
947448947575885000	Sun	Dec	31	12:46:46	2017	7	24	0
947445066066513000	Sun	Dec	31	12:31:21	2017	3	11	0
945635915376021000	Tue	Dec	26	12:42:25	2017	1	2	0
941742259095162000	Fri	Dec	15	18:50:25	2017	12	0	0
939904082793435000	Sun	Dec	10	17:06:10	2017	13	0	0
936668894378459000	Fri	Dec	1	18:50:41	2017	24	0	0
931468755963695000	Fri	Nov	17	10:27:11	2017	2	51	0
946839517176221000	Fri	Dec	29	20:25:06	2017	2	34	0
946123792505597000	Wed	Dec	27	21:01:04	2017	8	23	0
945693306293497000	Tue	Dec	26	16:30:29	2017	4	6	0
945602673109237000	Tue	Dec	26	10:30:20	2017	4	17	0
947460397870788000	Sun	Dec	31	13:32:16	2017	1108	8201	0
942142859758784000	Sat	Dec	16	21:22:16	2017	1182	8204	0
941629830604513000	Fri	Dec	15	11:23:40	2017	614	4725	0
944257495232663000	Fri	Dec	22	17:25:04	2017	118	1655	0
940297726306258000	Mon	Dec	11	19:10:22	2017	622	3748	0
922227570917236000	Sun	Oct	22	22:26:01	2017	299	2836	0
946772910269706000	Fri	Dec	29	16:00:26	2017	11	20	0
946742666934484000	Fri	Dec	29	14:00:16	2017	14	27	0
946352242474483000	Thu	Dec	28	12:08:51	2017	43	77	0
945998966143012000	Wed	Dec	27	12:45:03	2017	7	26	0
945949936398544000	Wed	Dec	27	9:30:14	2017	14	34	0
947740238381797000	Mon	Jan	1	8:04:15	2018	819	0	0
947453957466664000	Sun	Dec	31	13:06:40	2017	437	0	0
947450680721080000	Sun	Dec	31	12:53:39	2017	908	0	0
947150186568175000	Sat	Dec	30	16:59:36	2017	81	0	0
947107904120852000	Sat	Dec	30	14:11:35	2017	29	103	0
947064037501800000	Sat	Dec	30	11:17:16	2017	156	0	0
947001495135903000	Sat	Dec	30	7:08:45	2017	3	3	0
946705423192731000	Fri	Dec	29	11:32:16	2017	1	0	0
